modularity,hood_no,mod_set length,hood_set length,intersection length,union length,jaccard index
0,13,393,283,177,499,0.354709419
0,15,393,47,8,432,0.018518519
0,22,393,90,4,479,0.008350731
0,49,393,74,3,464,0.006465517
0,50,393,201,192,402,0.47761194
0,61,393,138,2,529,0.003780718
0,62,393,189,7,575,0.012173913
1,28,71,92,50,113,0.442477876
1,41,71,91,4,158,0.025316456
1,42,71,98,17,152,0.111842105
2,25,230,84,63,251,0.250996016
2,54,230,233,163,300,0.543333333
2,71,230,18,3,245,0.012244898
2,87,230,49,1,278,0.003597122
3,21,396,39,39,396,0.098484848
3,23,396,131,40,487,0.082135524
3,32,396,52,47,401,0.117206983
3,69,396,217,207,406,0.509852217
3,90,396,63,63,396,0.159090909
4,82,38,44,38,44,0.863636364
6,1,421,44,8,457,0.01750547
6,15,421,47,36,432,0.083333333
6,19,421,85,78,428,0.182242991
6,26,421,79,2,498,0.004016064
6,33,421,78,77,422,0.182464455
6,49,421,74,6,489,0.012269939
6,61,421,138,32,527,0.060721063
6,62,421,189,182,428,0.425233645
7,29,208,148,25,331,0.075528701
7,40,208,135,123,220,0.559090909
7,52,208,57,54,211,0.255924171
7,79,208,121,6,323,0.018575851
8,7,258,21,10,269,0.037174721
8,10,258,158,18,398,0.045226131
8,20,258,63,2,319,0.006269592
8,48,258,68,1,325,0.003076923
8,51,258,90,19,329,0.05775076
8,56,258,72,64,266,0.240601504
8,65,258,54,44,268,0.164179104
8,68,258,215,32,441,0.072562358
8,76,258,175,5,428,0.011682243
8,83,258,58,12,304,0.039473684
8,85,258,49,49,258,0.189922481
8,88,258,47,2,303,0.00660066
9,4,135,81,1,215,0.004651163
9,12,135,42,32,145,0.220689655
9,16,135,297,28,404,0.069306931
9,44,135,92,40,187,0.213903743
9,53,135,18,18,135,0.133333333
9,78,135,18,16,137,0.116788321
12,4,101,81,8,174,0.045977011
12,16,101,297,2,396,0.005050505
12,36,101,21,6,116,0.051724138
12,38,101,55,43,113,0.380530973
12,39,101,189,5,285,0.01754386
12,55,101,52,32,121,0.26446281
12,72,101,216,3,314,0.00955414
12,78,101,18,2,117,0.017094017
16,3,154,65,1,218,0.004587156
16,4,154,81,70,165,0.424242424
16,5,154,8,8,154,0.051948052
16,73,154,186,75,265,0.283018868
17,63,70,184,37,217,0.170506912
17,64,70,61,12,119,0.100840336
17,66,70,22,20,72,0.277777778
17,77,70,252,1,321,0.003115265
18,40,20,135,11,144,0.076388889
18,47,20,165,7,178,0.039325843
18,52,20,57,2,75,0.026666667
19,1,205,44,9,240,0.0375
19,2,205,33,31,207,0.149758454
19,15,205,47,3,249,0.012048193
19,19,205,85,7,283,0.024734982
19,22,205,90,78,217,0.359447005
19,49,205,74,65,214,0.303738318
19,50,205,201,9,397,0.022670025
19,57,205,77,2,280,0.007142857
19,87,205,49,1,253,0.003952569
21,20,179,63,61,181,0.337016575
21,56,179,72,8,243,0.032921811
21,70,179,123,90,212,0.424528302
21,83,179,58,1,236,0.004237288
21,88,179,47,19,207,0.09178744
22,47,19,165,1,183,0.005464481
22,52,19,57,1,75,0.013333333
22,79,19,121,7,133,0.052631579
22,84,19,117,9,127,0.070866142
22,86,19,51,1,69,0.014492754
24,13,108,283,103,288,0.357638889
24,61,108,138,5,241,0.020746888
26,37,122,197,96,223,0.430493274
26,39,122,189,23,288,0.079861111
26,70,122,123,1,244,0.004098361
26,77,122,252,2,372,0.005376344
28,41,48,91,7,132,0.053030303
28,47,48,165,41,172,0.238372093
29,23,200,131,56,275,0.203636364
29,30,200,137,128,209,0.612440191
29,31,200,38,5,233,0.021459227
29,69,200,217,8,409,0.019559902
29,87,200,49,1,248,0.004032258
29,89,200,116,2,314,0.006369427
30,1,334,44,23,355,0.064788732
30,2,334,33,2,365,0.005479452
30,11,334,89,10,413,0.024213075
30,17,334,242,215,361,0.595567867
30,22,334,90,8,416,0.019230769
30,24,334,77,5,406,0.012315271
30,26,334,79,6,407,0.014742015
30,30,334,137,3,468,0.006410256
30,57,334,77,48,363,0.132231405
30,71,334,18,10,342,0.029239766
30,80,334,95,2,427,0.004683841
30,87,334,49,2,381,0.005249344
31,28,308,92,6,394,0.015228426
31,41,308,91,80,319,0.250783699
31,42,308,98,81,325,0.249230769
31,43,308,33,25,316,0.079113924
31,47,308,165,113,360,0.313888889
31,64,308,61,3,366,0.008196721
32,14,215,323,2,536,0.003731343
32,16,215,297,179,333,0.537537538
32,60,215,139,34,320,0.10625
33,23,153,131,35,249,0.140562249
33,59,153,19,16,156,0.102564103
33,89,153,116,102,167,0.610778443
34,37,263,197,85,375,0.226666667
34,39,263,189,49,403,0.121588089
34,77,263,252,129,386,0.334196891
35,18,160,112,5,267,0.018726592
35,79,160,121,105,176,0.596590909
35,86,160,51,50,161,0.310559006
36,13,156,283,2,437,0.004576659
36,26,156,79,1,234,0.004273504
36,58,156,26,1,181,0.005524862
36,61,156,138,99,195,0.507692308
36,75,156,109,1,264,0.003787879
36,81,156,67,52,171,0.304093567
37,63,243,184,21,406,0.051724138
37,66,243,22,2,263,0.007604563
37,76,243,175,130,288,0.451388889
37,77,243,252,90,405,0.222222222
39,84,71,117,71,117,0.606837607
40,58,89,26,25,90,0.277777778
40,74,89,55,28,116,0.24137931
40,75,89,109,15,183,0.081967213
40,81,89,67,15,141,0.106382979
40,84,89,117,6,200,0.03
41,10,288,158,15,431,0.034802784
41,18,288,112,102,298,0.342281879
41,48,288,68,67,289,0.23183391
41,57,288,77,1,364,0.002747253
41,65,288,54,10,332,0.030120482
41,80,288,95,93,290,0.320689655
42,4,284,81,1,364,0.002747253
42,11,284,89,3,370,0.008108108
42,17,284,242,1,525,0.001904762
42,70,284,123,2,405,0.004938272
42,71,284,18,4,298,0.013422819
42,72,284,216,213,287,0.742160279
42,73,284,186,60,410,0.146341463
43,29,186,148,1,333,0.003003003
43,45,186,88,1,273,0.003663004
43,63,186,184,125,245,0.510204082
43,64,186,61,46,201,0.228855721
43,68,186,215,11,390,0.028205128
43,76,186,175,2,359,0.005571031
44,60,24,139,24,139,0.172661871
45,6,171,107,3,275,0.010909091
45,8,171,229,94,306,0.307189542
45,14,171,323,74,420,0.176190476
46,28,37,92,36,93,0.387096774
46,82,37,44,1,80,0.0125
47,3,291,65,64,292,0.219178082
47,4,291,81,1,371,0.002695418
47,9,291,82,78,295,0.26440678
47,44,291,92,51,332,0.153614458
47,54,291,233,51,473,0.10782241
47,73,291,186,46,431,0.106728538
48,7,375,21,11,385,0.028571429
48,11,375,89,76,388,0.195876289
48,17,375,242,26,591,0.043993232
48,24,375,77,72,380,0.189473684
48,37,375,197,16,556,0.028776978
48,51,375,90,71,394,0.180203046
48,70,375,123,30,468,0.064102564
48,77,375,252,2,625,0.0032
48,83,375,58,45,388,0.115979381
48,88,375,47,26,396,0.065656566
49,27,13,35,7,41,0.170731707
49,32,13,52,5,60,0.083333333
49,59,13,19,1,31,0.032258065
50,10,300,158,125,333,0.375375375
50,18,300,112,5,407,0.012285012
50,29,300,148,30,418,0.071770335
50,34,300,20,20,300,0.066666667
50,35,300,101,100,301,0.332225914
50,68,300,215,17,498,0.034136546
50,79,300,121,3,418,0.007177033
52,6,173,107,36,244,0.147540984
52,8,173,229,2,400,0.005
52,25,173,84,21,236,0.088983051
52,27,173,35,28,180,0.155555556
52,30,173,137,6,304,0.019736842
52,59,173,19,2,190,0.010526316
52,67,173,23,22,174,0.126436782
52,87,173,49,44,178,0.247191011
52,89,173,116,12,277,0.0433213
53,36,131,21,15,137,0.109489051
53,39,131,189,112,208,0.538461538
53,77,131,252,4,379,0.01055409
54,29,206,148,92,262,0.351145038
54,35,206,101,1,306,0.003267974
54,40,206,135,1,340,0.002941176
54,43,206,33,8,231,0.034632035
54,45,206,88,87,207,0.420289855
54,47,206,165,3,368,0.008152174
54,68,206,215,14,407,0.034398034
55,77,29,252,24,257,0.093385214
55,82,29,44,5,68,0.073529412
56,1,252,44,4,292,0.01369863
56,26,252,79,70,261,0.268199234
56,33,252,78,1,329,0.003039514
56,57,252,77,26,303,0.085808581
56,74,252,55,27,280,0.096428571
56,75,252,109,93,268,0.347014925
56,84,252,117,31,338,0.091715976
57,14,3,323,3,323,0.009287926
59,9,305,82,4,383,0.010443864
59,12,305,42,10,337,0.029673591
59,14,305,323,225,403,0.558312655
59,16,305,297,3,599,0.005008347
59,44,305,92,1,396,0.002525253
59,54,305,233,18,520,0.034615385
59,60,305,139,38,406,0.093596059
59,71,305,18,1,322,0.00310559
59,73,305,186,5,486,0.010288066
60,16,48,297,37,308,0.12012987
60,38,48,55,11,92,0.119565217
62,16,91,297,48,340,0.141176471
62,60,91,139,43,187,0.229946524
63,63,180,184,1,363,0.002754821
63,68,180,215,141,254,0.55511811
63,76,180,175,38,317,0.119873817
64,31,35,38,33,40,0.825
64,69,35,217,2,250,0.008
65,6,222,107,68,261,0.260536398
65,8,222,229,133,318,0.418238994
65,14,222,323,19,526,0.036121673
65,54,222,233,1,454,0.002202643
65,67,222,23,1,244,0.004098361
66,13,1,283,1,283,0.003533569
67,38,159,55,1,213,0.004694836
67,46,159,138,138,159,0.867924528
67,55,159,52,20,191,0.104712042